OH,OWB
34,23
34,23
34,23
34,23
34,23
28,10
28,10
28,10
28,10
28,10
135,45
135,45
135,45
135,45
135,45
80,32
80,32
80,32
80,32
80,32
64,32
64,32
64,32
64,32
64,32
3,4
3,4
3,4
3,4
3,4
64,13
64,13
64,13
64,13
64,13
20,4
20,4
20,4
20,4
20,4
40,10
40,10
40,10
40,10
40,10
72,16
72,16
72,16
72,16
72,16
20,5
20,5
20,5
20,5
20,5
26,7
26,7
26,7
26,7
26,7
160,32
160,32
160,32
160,32
160,32
90,26
90,26
90,26
90,26
90,26
72,20
72,20
72,20
72,20
72,20
384,128
384,128
384,128
384,128
384,128
20,5
20,5
20,5
20,5
20,5
7,2
7,2
7,2
7,2
7,2
7,8
7,8
7,8
7,8
7,8
80,20
80,20
80,20
80,20
80,20
160,40
160,40
160,40
160,40
160,40
112,45
112,45
112,45
112,45
112,45
160,32
160,32
160,32
160,32
160,32
32,8
32,8
32,8
32,8
32,8
480,160
480,160
480,160
480,160
480,160
16,4
16,4
16,4
16,4
16,4
14,3
14,3
14,3
14,3
14,3
10,8
10,8
10,8
10,8
10,8
8,20
8,20
8,20
8,20
8,20
48,16
48,16
48,16
48,16
48,16
32,16
32,16
32,16
32,16
32,16
20,5
20,5
20,5
20,5
20,5
80,20
80,20
80,20
80,20
80,20
13,3
13,3
13,3
13,3
13,3
4,8
4,8
4,8
4,8
4,8
40,8
40,8
40,8
40,8
40,8
2,3
2,3
2,3
2,3
2,3
224,45
224,45
224,45
224,45
224,45
224,80
224,80
224,80
224,80
224,80
32,7
32,7
32,7
32,7
32,7
32,8
32,8
32,8
32,8
32,8
24,8
24,8
24,8
24,8
24,8
2,5
2,5
2,5
2,5
2,5
64,20
64,20
64,20
64,20
64,20
32,20
32,20
32,20
32,20
32,20
14,3
14,3
14,3
14,3
14,3
20,4
20,4
20,4
20,4
20,4
13,7
13,7
13,7
13,7
13,7
13,3
13,3
13,3
13,3
13,3
24,8
24,8
24,8
24,8
24,8
480,160
480,160
480,160
480,160
480,160
40,8
40,8
40,8
40,8
40,8
32,7
32,7
32,7
32,7
32,7
80,20
80,20
80,20
80,20
80,20
208,42
208,42
208,42
208,42
208,42
32,8
32,8
32,8
32,8
32,8
40,8
40,8
40,8
40,8
40,8
7,2
7,2
7,2
7,2
7,2
32,8
32,8
32,8
32,8
32,8
160,32
160,32
160,32
160,32
160,32
32,7
32,7
32,7
32,7
32,7
40,10
40,10
40,10
40,10
40,10
16,16
16,16
16,16
16,16
16,16
28,8
28,8
28,8
28,8
28,8
14,3
14,3
14,3
14,3
14,3
224,45
224,45
224,45
224,45
224,45
45,12
45,12
45,12
45,12
45,12
160,32
160,32
160,32
160,32
160,32
7,7
7,7
7,7
7,7
7,7
29,7
29,7
29,7
29,7
29,7
80,16
80,16
80,16
80,16
80,16
4,4
4,4
4,4
4,4
4,4
2,2
2,2
2,2
2,2
2,2
80,20
80,20
80,20
80,20
80,20
96,80
96,80
96,80
96,80
96,80
160,32
160,32
160,32
160,32
160,32
101,23
101,23
101,23
101,23
101,23
32,8
32,8
32,8
32,8
32,8
160,40
160,40
160,40
160,40
160,40
20,8
20,8
20,8
20,8
20,8
96,32
96,32
96,32
96,32
96,32
24,16
24,16
24,16
24,16
24,16
10,2
10,2
10,2
10,2
10,2
16,6
16,6
16,6
16,6
16,6
7,8
7,8
7,8
7,8
7,8
16,5
16,5
16,5
16,5
16,5
24,10
24,10
24,10
24,10
24,10
32,13
32,13
32,13
32,13
32,13
32,16
32,16
32,16
32,16
32,16
120,32
120,32
120,32
120,32
120,32
2,4
2,4
2,4
2,4
2,4
14,5
14,5
14,5
14,5
14,5
56,12
56,12
56,12
56,12
56,12
40,8
40,8
40,8
40,8
40,8
26,8
26,8
26,8
26,8
26,8
32,8
32,8
32,8
32,8
32,8
28,6
28,6
28,6
28,6
28,6
2,4
2,4
2,4
2,4
2,4
42,11
42,11
42,11
42,11
42,11
80,16
80,16
80,16
80,16
80,16
40,8
40,8
40,8
40,8
40,8
128,26
128,26
128,26
128,26
128,26
28,12
28,12
28,12
28,12
28,12
3,3
3,3
3,3
3,3
3,3
12,8
12,8
12,8
12,8
12,8
14,5
14,5
14,5
14,5
14,5
23,7
23,7
23,7
23,7
23,7
120,32
120,32
120,32
120,32
120,32
20,5
20,5
20,5
20,5
20,5
480,160
480,160
480,160
480,160
480,160
8,5
8,5
8,5
8,5
8,5
231,52
231,52
231,52
231,52
231,52
20,4
20,4
20,4
20,4
20,4
20,5
20,5
20,5
20,5
20,5
80,16
80,16
80,16
80,16
80,16
6,4
6,4
6,4
6,4
6,4
128,26
128,26
128,26
128,26
128,26
64,16
64,16
64,16
64,16
64,16
20,5
20,5
20,5
20,5
20,5
14,3
14,3
14,3
14,3
14,3
96,32
96,32
96,32
96,32
96,32
56,20
56,20
56,20
56,20
56,20
20,4
20,4
20,4
20,4
20,4
52,13
52,13
52,13
52,13
52,13
256,52
256,52
256,52
256,52
256,52
7,8
7,8
7,8
7,8
7,8
12,4
12,4
12,4
12,4
12,4
24,10
24,10
24,10
24,10
24,10
4,7
4,7
4,7
4,7
4,7
26,13
26,13
26,13
26,13
26,13
4,4
4,4
4,4
4,4
4,4
64,13
64,13
64,13
64,13
64,13
480,160
480,160
480,160
480,160
480,160
52,13
52,13
52,13
52,13
52,13
112,40
112,40
112,40
112,40
112,40
84,32
84,32
84,32
84,32
84,32
52,26
52,26
52,26
52,26
52,26
64,13
64,13
64,13
64,13
64,13
32,7
32,7
32,7
32,7
32,7
26,13
26,13
26,13
26,13
26,13
24,16
24,16
24,16
24,16
24,16
32,8
32,8
32,8
32,8
32,8
16,4
16,4
16,4
16,4
16,4
80,16
80,16
80,16
80,16
80,16
14,3
14,3
14,3
14,3
14,3
108,32
108,32
108,32
108,32
108,32
64,13
64,13
64,13
64,13
64,13
16,32
16,32
16,32
16,32
16,32
40,8
40,8
40,8
40,8
40,8
13,3
13,3
13,3
13,3
13,3
10,2
10,2
10,2
10,2
10,2
80,20
80,20
80,20
80,20
80,20
20,5
20,5
20,5
20,5
20,5
144,32
144,32
144,32
144,32
144,32
23,8
23,8
23,8
23,8
23,8
64,13
64,13
64,13
64,13
64,13
26,52
26,52
26,52
26,52
26,52
10,2
10,2
10,2
10,2
10,2
12,3
12,3
12,3
12,3
12,3
160,32
160,32
160,32
160,32
160,32
10,2
10,2
10,2
10,2
10,2
120,32
120,32
120,32
120,32
120,32
24,10
24,10
24,10
24,10
24,10
32,8
32,8
32,8
32,8
32,8
36,10
36,10
36,10
36,10
36,10
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
26,6
26,6
26,6
26,6
26,6
40,16
40,16
40,16
40,16
40,16
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
12,8
12,8
12,8
12,8
12,8
160,32
160,32
160,32
160,32
160,32
20,4
20,4
20,4
20,4
20,4
80,20
80,20
80,20
80,20
80,20
26,26
26,26
26,26
26,26
26,26
8,6
8,6
8,6
8,6
8,6
52,13
52,13
52,13
52,13
52,13
160,32
160,32
160,32
160,32
160,32
16,10
16,10
16,10
16,10
16,10
32,8
32,8
32,8
32,8
32,8
116,26
116,26
116,26
116,26
116,26
17,12
17,12
17,12
17,12
17,12
32,8
32,8
32,8
32,8
32,8
64,13
64,13
64,13
64,13
64,13
160,40
160,40
160,40
160,40
160,40
36,8
36,8
36,8
36,8
36,8
32,7
32,7
32,7
32,7
32,7
13,3
13,3
13,3
13,3
13,3
20,4
20,4
20,4
20,4
20,4
40,8
40,8
40,8
40,8
40,8
120,32
120,32
120,32
120,32
120,32
56,20
56,20
56,20
56,20
56,20
20,4
20,4
20,4
20,4
20,4
40,10
40,10
40,10
40,10
40,10
208,42
208,42
208,42
208,42
208,42
10,2
10,2
10,2
10,2
10,2
56,12
56,12
56,12
56,12
56,12
73,26
73,26
73,26
73,26
73,26
13,3
13,3
13,3
13,3
13,3
80,20
80,20
80,20
80,20
80,20
20,5
20,5
20,5
20,5
20,5
120,32
120,32
120,32
120,32
120,32
112,23
112,23
112,23
112,23
112,23
64,16
64,16
64,16
64,16
64,16
11,3
11,3
11,3
11,3
11,3
32,7
32,7
32,7
32,7
32,7
40,10
40,10
40,10
40,10
40,10
104,26
104,26
104,26
104,26
104,26
80,16
80,16
80,16
80,16
80,16
32,8
32,8
32,8
32,8
32,8
160,32
160,32
160,32
160,32
160,32
160,32
160,32
160,32
160,32
160,32
52,13
52,13
52,13
52,13
52,13
480,160
480,160
480,160
480,160
480,160
26,8
26,8
26,8
26,8
26,8
56,12
56,12
56,12
56,12
56,12
52,11
52,11
52,11
52,11
52,11
32,8
32,8
32,8
32,8
32,8
240,64
240,64
240,64
240,64
240,64
24,8
24,8
24,8
24,8
24,8
32,21
32,21
32,21
32,21
32,21
20,5
20,5
20,5
20,5
20,5
40,10
40,10
40,10
40,10
40,10
32,8
32,8
32,8
32,8
32,8
120,32
120,32
120,32
120,32
120,32
128,26
128,26
128,26
128,26
128,26
20,8
20,8
20,8
20,8
20,8
80,20
80,20
80,20
80,20
80,20
28,12
28,12
28,12
28,12
28,12
224,45
224,45
224,45
224,45
224,45
16,20
16,20
16,20
16,20
16,20
20,8
20,8
20,8
20,8
20,8
202,45
202,45
202,45
202,45
202,45
120,32
120,32
120,32
120,32
120,32
32,7
32,7
32,7
32,7
32,7
104,21
104,21
104,21
104,21
104,21
84,32
84,32
84,32
84,32
84,32
80,20
80,20
80,20
80,20
80,20
224,45
224,45
224,45
224,45
224,45
32,7
32,7
32,7
32,7
32,7
10,7
10,7
10,7
10,7
10,7
23,12
23,12
23,12
23,12
23,12
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
32,8
120,32
120,32
120,32
120,32
120,32
32,8
32,8
32,8
32,8
32,8
4,8
4,8
4,8
4,8
4,8
80,16
80,16
80,16
80,16
80,16
13,8
13,8
13,8
13,8
13,8
40,8
40,8
40,8
40,8
40,8
64,13
64,13
64,13
64,13
64,13
4,5
4,5
4,5
4,5
4,5
160,40
160,40
160,40
160,40
160,40
58,13
58,13
58,13
58,13
58,13
256,52
256,52
256,52
256,52
256,52
20,4
20,4
20,4
20,4
20,4
288,160
288,160
288,160
288,160
288,160
160,32
160,32
160,32
160,32
160,32
2,2
2,2
2,2
2,2
2,2
16,20
16,20
16,20
16,20
16,20
16,16
16,16
16,16
16,16
16,16
73,21
73,21
73,21
73,21
73,21
32,11
32,11
32,11
32,11
32,11
20,4
20,4
20,4
20,4
20,4
90,45
90,45
90,45
90,45
90,45
80,16
80,16
80,16
80,16
80,16
80,20
80,20
80,20
80,20
80,20
6,4
6,4
6,4
6,4
6,4
28,8
28,8
28,8
28,8
28,8
64,13
64,13
64,13
64,13
64,13
13,4
13,4
13,4
13,4
13,4
80,16
80,16
80,16
80,16
80,16
12,12
12,12
12,12
12,12
12,12
160,32
160,32
160,32
160,32
160,32
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
80,16
112,23
112,23
112,23
112,23
112,23
12,4
12,4
12,4
12,4
12,4
14,3
14,3
14,3
14,3
14,3
160,40
160,40
160,40
160,40
160,40
32,8
32,8
32,8
32,8
32,8
80,20
80,20
80,20
80,20
80,20
20,5
20,5
20,5
20,5
20,5
40,10
40,10
40,10
40,10
40,10
23,8
23,8
23,8
23,8
23,8
80,20
80,20
80,20
80,20
80,20
10,2
10,2
10,2
10,2
10,2
432,160
432,160
432,160
432,160
432,160
10,2
10,2
10,2
10,2
10,2
80,16
80,16
80,16
80,16
80,16
12,3
12,3
12,3
12,3
12,3
32,8
32,8
32,8
32,8
32,8
16,32
16,32
16,32
16,32
16,32
32,7
32,7
32,7
32,7
32,7
120,32
120,32
120,32
120,32
120,32
20,7
20,7
20,7
20,7
20,7
256,52
256,52
256,52
256,52
256,52
8,5
8,5
8,5
8,5
8,5
20,5
20,5
20,5
20,5
20,5
32,32
32,32
32,32
32,32
32,32
6,6
6,6
6,6
6,6
6,6
20,5
20,5
20,5
20,5
20,5
72,16
72,16
72,16
72,16
72,16
13,3
13,3
13,3
13,3
13,3
16,20
16,20
16,20
16,20
16,20
120,32
120,32
120,32
120,32
120,32
16,8
16,8
16,8
16,8
16,8
224,45
224,45
224,45
224,45
224,45
28,6
28,6
28,6
28,6
28,6
16,4
16,4
16,4
16,4
16,4
32,8
32,8
32,8
32,8
32,8
80,32
80,32
80,32
80,32
80,32
8,20
8,20
8,20
8,20
8,20
104,21
104,21
104,21
104,21
104,21
320,80
320,80
320,80
320,80
320,80
48,20
48,20
48,20
48,20
48,20
240,160
240,160
240,160
240,160
240,160
480,160
480,160
480,160
480,160
480,160
64,13
64,13
64,13
64,13
64,13
20,4
20,4
20,4
20,4
20,4
23,6
23,6
23,6
23,6
23,6
10,8
10,8
10,8
10,8
10,8
2,3
2,3
2,3
2,3
2,3
16,16
16,16
16,16
16,16
16,16
11,6
11,6
11,6
11,6
11,6
4,4
4,4
4,4
4,4
4,4
20,5
20,5
20,5
20,5
20,5
4,2
4,2
4,2
4,2
4,2
40,8
40,8
40,8
40,8
40,8
16,8
16,8
16,8
16,8
16,8
7,4
7,4
7,4
7,4
7,4
40,8
40,8
40,8
40,8
40,8
20,7
20,7
20,7
20,7
20,7
56,12
56,12
56,12
56,12
56,12
48,20
48,20
48,20
48,20
48,20
120,32
120,32
120,32
120,32
120,32
45,45
45,45
45,45
45,45
45,45
8,8
8,8
8,8
8,8
8,8
160,40
160,40
160,40
160,40
160,40
80,16
80,16
80,16
80,16
