OH,OWB,ICB
14,3,128
4,8,64
28,6,128
128,26,16
32,8,64
16,4,64
10,8,38
120,32,32
160,32,64
10,2,64
128,52,16
28,12,32
20,4,128
13,3,384
10,2,64
45,12,32
112,23,16
32,32,64
32,7,64
23,8,32
28,6,64
23,8,32
64,16,16
80,40,16
60,32,32
80,20,64
10,2,64
60,32,32
128,32,64
208,42,8
160,32,16
144,32,64
40,8,64
56,12,32
13,4,256
32,7,64
26,6,64
20,4,64
208,42,8
28,6,64
336,128,8
16,40,64
58,13,64
32,8,32
32,8,38
80,20,128
2,3,128
80,16,32
224,45,1
16,20,64
120,32,32
40,8,64
20,4,64
480,128,8
8,10,32
32,7,64
3,2,64
26,8,32
60,32,32
40,10,128
32,8,32
80,32,64
160,32,64
64,13,64
20,4,64
28,10,128
9,2,64
80,16,64
32,7,64
4,8,32
160,32,64
10,7,128
2,2,64
6,5,512
40,8,64
48,40,64
160,32,16
56,12,64
480,160,8
224,45,16
20,4,128
64,13,32
40,8,64
52,13,64
24,20,32
64,40,64
224,45,16
32,8,128
28,6,64
256,52,1
256,52,16
20,4,64
80,16,64
40,8,64
16,7,64
4,8,32
120,32,32
16,32,64
120,32,32
8,3,256
64,13,64
480,128,8
80,20,64
160,32,64
80,16,64
2,3,128
40,8,64
42,13,64
48,32,32
39,26,32
32,20,32
480,128,8
40,10,128
192,80,1
40,10,64
120,32,32
40,8,64
20,5,512
2,4,64
20,10,64
20,8,64
6,6,64
8,8,64
120,32,32
48,32,32
32,8,32
40,8,64
40,10,128
160,32,64
21,21,16
40,8,64
7,8,32
7,7,64
8,8,64
32,8,32
40,10,128
32,7,64
104,21,16
63,42,8
48,20,128
32,7,128
154,52,16
10,2,64
13,3,256
56,20,128
72,16,32
40,8,64
13,3,128
9,2,64
432,160,1
32,8,32
12,5,256
288,160,8
72,20,64
18,5,128
23,6,128
8,10,256
32,8,32
104,21,16
14,4,128
64,13,32
32,20,64
20,5,256
96,128,8
112,40,16
20,8,64
20,5,512
80,20,64
8,16,64
12,3,128
21,13,64
13,8,32
14,3,128
416,84,1
56,16,64
256,52,16
80,20,64
56,16,32
4,3,128
240,64,16
32,7,64
20,5,256
224,45,16
120,32,32
80,16,32
32,8,64
24,6,64
32,8,38
32,8,32
28,6,64
20,13,64
20,4,64
120,32,32
32,7,128
20,4,64
32,8,64
144,40,16
32,8,32
20,8,64
112,23,16
64,13,64
56,16,16
8,7,128
32,8,128
20,4,64
9,2,64
32,7,64
20,7,64
13,3,128
13,4,256
40,8,64
56,12,32
77,52,16
120,32,32
205,52,1
20,5,64
80,32,64
14,3,128
10,2,64
80,20,64
36,8,32
160,80,1
4,5,512
20,4,64
20,8,64
16,16,32
112,23,32
24,8,32
120,32,32
80,16,32
16,32,16
13,4,256
9,2,64
13,3,128
8,16,64
160,40,64
10,4,64
20,4,64
146,42,8
144,32,64
10,2,64
24,20,128
28,8,64
80,16,32
20,4,64
24,16,64
80,16,64
160,32,64
4,8,64
80,16,16
4,8,64
64,16,64
56,12,64
40,10,32
32,16,32
16,10,256
20,13,64
375,84,1
20,4,64
8,4,64
14,3,128
56,12,64
2,5,512
108,32,32
10,8,32
120,32,32
6,4,64
40,8,64
26,52,1
26,7,128
12,8,64
128,40,16
216,64,16
20,5,256
180,52,1
20,5,512
16,4,64
32,8,32
160,32,64
26,6,64
36,8,64
80,16,64
144,32,64
13,7,64
16,4,128
32,8,32
17,12,64
32,8,32
10,2,64
32,10,128
80,20,32
72,16,64
10,2,64
8,4,256
58,13,64
24,20,64
8,16,64
480,160,1
20,4,64
80,16,64
72,20,64
6,12,64
14,3,128
32,7,64
32,8,32
13,3,128
