OH,OWB,ICB,OCB
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
40,8,32,16
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
80,20,64,13
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
36,32,32,32
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
40,10,128,13
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
160,40,16,64
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
20,5,128,359
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
16,4,64,2
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
18,4,64,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
2,4,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
28,8,64,64
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
13,3,128,128
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,8,32,103
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
32,7,128,64
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
14,6,64,128
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
